Competition,Name,Gender,Height,Weight,d_resOffi,d_resEffe,d_loss_TO,t_step_S3,t_step_S2,t_step_S1,t_contact_S3,t_contact_S2,t_contact_S1,t_flight_S3,t_flight_S2,t_flight_S1,d_step_S3,d_step_S2,d_step_S1,r_stepDiff_S32,r_stepDiff_S21,v_H_S3,v_H_S2,v_H_S1,v_H_TO,v_V_TO,v_HDiff_TDO,v_TO,a_TO,t_TDO,a_body_TD,a_body_TO,a_trunk_TD,a_trunk_TO,a_trunkRot_TDO,a_thigh_TO,w_thigh_TDO,a_knee_TD,a_kneeMin_TDO,a_kneeRange_TDO,w_knee_TDO,h_CMLower,a_hip_LD,a_knee_LD,a_trunk_LD,d_loss_LD,d_LD
2018,Echevarria,M,1.86,72,8.46,8.487,0.027,0.204,0.244,0.2,0.084,0.084,0.108,0.12,0.16,0.092,,,2.27,,,,,9.67,8.61,4.2,-1.41,9.58,26,,-32.2,13.5,-16.3,-6.4,,-20,486,171.2,149.2,22,-489,8,110.1,153.8,-7.1,0.19,0.74
2018,Manyonga,M,1.89,82,8.44,8.442,0.002,0.232,0.248,0.196,0.088,0.116,0.112,0.144,0.132,0.084,,,2.28,,,,,9.86,8.93,3.83,-1.39,9.72,23.2,,-33.4,18.8,-4.6,-2.3,,-7.5,635,168.6,137.5,31.1,-518,4,85,131.9,7.6,0.33,0.65
2018,Dendy,M,1.93,79,8.18,8.19,0.01,0.22,0.268,0.192,0.088,0.124,0.132,0.132,0.144,0.06,,,2.13,,,,,9.84,9.11,3.45,-1.32,9.74,20.8,,-35.3,20.1,0.3,4.7,,-14.6,470,168.2,141.4,26.8,-383,3,129.9,117.8,-14.6,0,0.79
2018,Lawson,M,1.88,78,8.14,8.233,0.093,0.2,0.232,0.192,0.092,0.104,0.12,0.108,0.128,0.072,,,2.21,,,,,9.75,9.12,3.22,-1.05,9.67,19.4,,-35.1,20.7,0.2,-2.3,,-24.2,451,162.8,124.8,38,-633,4,111.3,117.6,3.9,0.12,0.71
2018,Shi,M,1.82,70,8.12,8.211,0.091,0.196,0.232,0.188,0.084,0.108,0.116,0.112,0.124,0.072,,,2.07,,,,,9.59,8.64,3.83,-1.56,9.45,23.9,,-33.8,19.2,-7.2,-5.2,,-19.8,532,162,135.2,26.8,-447,3,81.3,135.2,9.3,0.09,0.63
2018,Samaai,M,1.85,75,8.05,8.202,0.152,0.2,0.244,0.196,0.096,0.108,0.12,0.104,0.136,0.076,,,2.22,,,,,9.71,8.95,3.49,-1.34,9.61,21.3,,-33.6,20.6,-5.9,10.4,,-18.8,595,165.2,131.8,33.4,-514,4,61.1,140.8,31.5,0,0.66
2018,Juska,M,1.93,84,7.99,8.05,0.06,0.248,0.276,0.188,0.108,0.116,0.124,0.14,0.16,0.064,,,2.13,,,,,9.33,8.36,3.63,-1.78,9.11,23.5,,-36.2,17.1,-8.8,-2.7,,-12.6,586,165.3,140.6,24.7,-412,3,69.9,134.9,20.3,0,0.63
2018,Caceres,M,1.74,69,7.91,7.947,0.037,0.216,0.216,0.188,0.088,0.116,0.104,0.128,0.1,0.084,,,2.15,,,,,9.97,9.18,3.47,-0.96,9.81,20.7,,-29.8,16.5,-2.8,0.2,,-8,704,169.5,150.8,18.7,-416,2,,,,,
2018,Tentoglou,M,1.85,75,7.82,8.026,0.206,0.212,0.272,0.208,0.096,0.124,0.144,0.116,0.148,0.064,,,2.18,,,,,9.43,8.51,3.37,-1.72,9.15,21.6,,-39.3,22.7,-5.2,2.8,,-8.4,484,162,120.5,41.5,-553,2,107.6,138.8,-7.2,0,0.79
2018,Huang,M,1.86,73,7.75,7.91,0.16,0.212,0.224,0.18,0.084,0.108,0.112,0.128,0.116,0.068,,,2.06,,,,,9.51,8.93,3.68,-0.96,9.66,22.1,,-31.9,15.3,-8.8,2.9,,-17,507,172.2,148.8,23.4,-669,4,93.1,112.8,-8,0,0.57
