Height,Weight,d_loss_TO,t_step_S3,t_step_S2,t_step_S1,t_contact_S3,t_contact_S2,t_contact_S1,t_flight_S3,t_flight_S2,t_flight_S1,d_step_S3,d_step_S2,d_step_S1,r_stepDiff_S32,r_stepDiff_S21,v_H_S3,v_H_S2,v_H_S1,v_H_TO,v_V_TO,v_HDiff_TDO,v_TO,a_TO,a_body_TD,a_body_TO,a_trunk_TO,a_thigh_TO,w_thigh_TDO,a_knee_TD,a_kneeMin_TDO,a_kneeRange_TDO,w_knee_TDO,h_CMLower,a_hip_LD,a_knee_LD,a_trunk_LD,d_loss_LD,d_LD,d_resEffe,d_resOffi
1.86,72,0.027,0.204,0.244,0.2,0.084,0.084,0.108,0.12,0.16,0.092,2.268935245,2.445421111,2.27,5.70475,-8.68306746,10.32704286,10.2411396,9.67,8.61,4.2,-1.41,9.58,26,-32.2,13.5,-6.4,-20,486,171.2,149.2,22,-489,8,110.1,153.8,-7.1,0.19,0.74,8.487,8.46
1.89,82,0.002,0.232,0.248,0.196,0.088,0.116,0.112,0.144,0.132,0.084,2.336901894,2.47540369,2.28,6.208674603,-9.529316378,10.38305778,10.37640135,9.86,8.93,3.83,-1.39,9.72,23.2,-33.4,18.8,-2.3,-7.5,635,168.6,137.5,31.1,-518,4,85,131.9,7.6,0.33,0.65,8.442,8.44
1.93,79,0.01,0.22,0.268,0.192,0.088,0.124,0.132,0.132,0.144,0.06,2.377299762,2.51096754,2.13,7.348357143,-12.35619841,10.41489548,10.45456393,9.84,9.11,3.45,-1.32,9.74,20.8,-35.3,20.1,4.7,-14.6,470,168.2,141.4,26.8,-383,3,129.9,117.8,-14.6,0,0.79,8.19,8.18
1.88,78,0.093,0.2,0.232,0.192,0.092,0.104,0.12,0.108,0.128,0.072,2.255331634,2.412799484,2.21,8.001805556,-10.60179365,10.39465508,10.36710345,9.75,9.12,3.22,-1.05,9.67,19.4,-35.1,20.7,-2.3,-24.2,451,162.8,124.8,38,-633,4,111.3,117.6,3.9,0.12,0.71,8.233,8.14
1.82,70,0.091,0.196,0.232,0.188,0.084,0.108,0.116,0.112,0.124,0.072,2.236486212,2.349224762,2.07,5.255150794,-7.468606061,10.43469536,10.25711635,9.59,8.64,3.83,-1.56,9.45,23.9,-33.8,19.2,-5.2,-19.8,532,162,135.2,26.8,-447,3,81.3,135.2,9.3,0.09,0.63,8.211,8.12
1.85,75,0.152,0.2,0.244,0.196,0.096,0.108,0.12,0.104,0.136,0.076,2.280339553,2.488151786,2.22,7.371888889,-10.68568939,10.40804948,10.41358353,9.71,8.95,3.49,-1.34,9.61,21.3,-33.6,20.6,10.4,-18.8,595,165.2,131.8,33.4,-514,4,61.1,140.8,31.5,0,0.66,8.202,8.05
1.93,84,0.06,0.248,0.276,0.188,0.108,0.116,0.124,0.14,0.16,0.064,2.39669268,2.53727623,2.13,5.655027778,-11.30729654,10.41817581,10.34246,9.33,8.36,3.63,-1.78,9.11,23.5,-36.2,17.1,-2.7,-12.6,586,165.3,140.6,24.7,-412,3,69.9,134.9,20.3,0,0.63,8.05,7.99
1.74,69,0.037,0.216,0.216,0.188,0.088,0.116,0.104,0.128,0.1,0.084,2.276986331,2.343595379,2.15,3.029912698,-6.040951299,10.46128254,10.43981087,9.97,9.18,3.47,-0.96,9.81,20.7,-29.8,16.5,0.2,-8,704,169.5,150.8,18.7,-416,2,86.40454325,133.9064841,25.55901786,0.09259369,0.584590952,7.947,7.91
1.85,75,0.206,0.212,0.272,0.208,0.096,0.124,0.144,0.116,0.148,0.064,2.344730801,2.535309643,2.18,7.876785714,-12.01572222,10.3310699,10.34622877,9.43,8.51,3.37,-1.72,9.15,21.6,-39.3,22.7,2.8,-8.4,484,162,120.5,41.5,-553,2,107.6,138.8,-7.2,0,0.79,8.026,7.82
1.86,73,0.16,0.212,0.224,0.18,0.084,0.108,0.112,0.128,0.116,0.068,2.263681212,2.350907641,2.06,4.492186508,-9.227630952,10.44957849,10.34742242,9.51,8.93,3.68,-0.96,9.66,22.1,-31.9,15.3,2.9,-17,507,172.2,148.8,23.4,-669,4,93.1,112.8,-8,0,0.57,7.91,7.75
